driver_id,full_name,acronym,country_code,team_id
1,Max VERSTAPPEN,VER,NED,2
2,Logan SARGEANT,SAR,USA,3
3,Daniel RICCIARDO,RIC,AUS,1
4,Lando NORRIS,NOR,GBR,10
5,Gabriel BORTOLETO,BOR,,-1
6,Oliver GOETHE,GOE,,-1
7,Kaylen FREDERICK,FRE,,-1
8,Gregoire SAUCY,SAU,,-1
9,Nikola TSOLOV,TSO,,-1
10,Pierre GASLY,GAS,FRA,4
11,Sergio PEREZ,PER,MEX,2
12,Jonny EDGAR,EDG,,-1
14,Fernando ALONSO,ALO,ESP,5
15,Gabriele MINI,MIN,,-1
16,Charles LECLERC,LEC,MON,6
17,Caio COLLET,CCO,,-1
18,Lance STROLL,STR,CAN,5
19,Tommy SMITH,SMI,,-1
20,Kevin MAGNUSSEN,MAG,DEN,7
21,Nyck DE VRIES,DEV,NED,1
22,Yuki TSUNODA,TSU,JPN,1
23,Alexander ALBON,ALB,THA,3
24,ZHOU Guanyu,ZHO,CHN,8
25,Hugh BARTER,HBA,,-1
26,Nikita BEDRIN,BED,,-1
27,Nico HULKENBERG,HUL,GER,7
28,Alejandro GARCIA,GAR,,-1
29,Patricio O'WARD,OWA,MEX,10
30,Roberto FARIA,FAR,,-1
31,Esteban OCON,OCO,FRA,4
34,Felipe DRUGOVICH,DRU,BRA,5
36,Jake DENNIS,DEN,GBR,2
37,Isack HADJAR,HAD,FRA,2
38,Oliver BEARMAN,BEA,GBR,6
39,Robert SHWARTZMAN,SHW,ISR,6
40,Liam LAWSON,LAW,NZL,1
41,Isack HADJAR,HAD,FRA,1
42,Frederik VESTI,VES,DEN,9
44,Lewis HAMILTON,HAM,GBR,9
45,Zak O'SULLIVAN,OSU,GBR,3
50,Oliver BEARMAN,BEA,GBR,7
55,Carlos SAINZ,SAI,ESP,6
61,Jack DOOHAN,DOO,AUS,4
63,George RUSSELL,RUS,GBR,9
77,Valtteri BOTTAS,BOT,FIN,8
81,Oscar PIASTRI,PIA,AUS,10
98,Theo POURCHAIRE,POU,FRA,8
